Name,id,Product,Weight(kg),Arrival,BestBefore,Maximum
guldasta,-7906434419713185929,Apple,95.0,2015-09-19,2015-09-25,100.0
patik,2723030288162985091,Banana,65.0,2015-09-19,2015-09-25,70.0
raisuddin,-1894351938747062086,Lime,450.0,2015-09-19,2015-09-25,500.0
jasmen,-936895894803863828,Papaya,65.0,2015-09-19,2015-09-25,70.0
santo,4612333139155000023,Tomato Big,31.5,2015-09-20,2015-09-26,35.0
shanta,2960310750304784655,Tomato Small,27.5,2015-09-20,2015-09-26,30.0
haneef,5040385076877893978,Potato Red,31.5,2015-09-20,2015-09-26,35.0
rahu,2957258461367610484,Potato White,21.0,2015-09-20,2015-09-26,22.0
anushka,-3763883785994142627,Carrot,75.0,2015-09-20,2015-09-26,80.0
fakir,1247089047928546332,Brinjal Long,22.5,2015-09-20,2015-09-26,25.0
haneef,5040385076877893978,Okara,55.0,2015-09-20,2015-09-26,60.0
nakched,-4960447786618205247,Apple,95.0,2015-09-20,2015-09-26,100.0
rajbir,-5254222139817084366,Banana,62.5,2015-09-20,2015-09-26,65.0
guldasta,-7906434419713185929,Lime,425.0,2015-09-20,2015-09-26,450.0
pinky,-788253433629545359,Papaya,72.5,2015-09-20,2015-09-26,75.0
shanta,2960310750304784655,Tomato Big,31.5,2015-09-21,2015-09-27,35.0
divy,830602817135085407,Tomato Small,20.0,2015-09-21,2015-09-27,25.0
jagdiesh,4105505874232099421,Potato Red,31.5,2015-09-21,2015-09-27,35.0
preetam,-2213805873980470021,Potato White,21.0,2015-09-21,2015-09-27,22.0
ramotar,-2173245710817273785,Carrot,75.0,2015-09-21,2015-09-27,80.0
pushpa,6250299447907893656,Brinjal Long,22.5,2015-09-21,2015-09-27,25.0
rajbir,-5254222139817084366,Okara,55.0,2015-09-21,2015-09-27,60.0
nakched,-4960447786618205247,Apple,95.0,2015-09-21,2015-09-27,100.0
mercy,-5690939918981728182,Banana,55.0,2015-09-21,2015-09-27,60.0
pushpa,6250299447907893656,Lime,425.0,2015-09-21,2015-09-27,450.0
anushka,-3763883785994142627,Papaya,72.5,2015-09-21,2015-09-27,75.0
preetam,-2213805873980470021,Tomato Big,32.5,2015-09-22,2015-09-28,35.0
vijayanta,4365782647811874623,Tomato Small,22.5,2015-09-22,2015-09-28,25.0
pinky,-788253433629545359,Potato Red,31.5,2015-09-22,2015-09-28,35.0
patik,2723030288162985091,Potato White,21.0,2015-09-22,2015-09-28,22.0
rahu,2957258461367610484,Carrot,75.0,2015-09-22,2015-09-28,80.0
rahu,2957258461367610484,Brinjal Long,22.5,2015-09-22,2015-09-28,25.0
anushka,-3763883785994142627,Okara,55.0,2015-09-22,2015-09-28,60.0
sawan,-6149529968967915582,Apple,95.0,2015-09-22,2015-09-28,100.0
rampayari,2968148604061203207,Banana,55.0,2015-09-22,2015-09-28,60.0
divy,830602817135085407,Lime,425.0,2015-09-22,2015-09-28,450.0
mercy,-5690939918981728182,Papaya,72.5,2015-09-22,2015-09-28,75.0
shefali,-2298907791602927432,Tomato Big,37.5,2015-09-23,2015-09-29,40.0
patik,2723030288162985091,Tomato Small,30.0,2015-09-23,2015-09-29,35.0
guldasta,-7906434419713185929,Potato Red,31.5,2015-09-23,2015-09-29,35.0
sanjeev,2699564478308651307,Potato White,21.0,2015-09-23,2015-09-29,22.0
anushka,-3763883785994142627,Carrot,75.0,2015-09-23,2015-09-29,80.0
sanjeev,2699564478308651307,Brinjal Long,25.0,2015-09-23,2015-09-29,30.0
jasmen,-936895894803863828,Okara,55.0,2015-09-23,2015-09-29,60.0
preetam,-2213805873980470021,Apple,95.0,2015-09-23,2015-09-29,100.0
pushpa,6250299447907893656,Banana,65.0,2015-09-23,2015-09-29,70.0
aamina,-3709490872329022915,Lime,425.0,2015-09-23,2015-09-29,450.0
preetam,-2213805873980470021,Papaya,72.5,2015-09-23,2015-09-29,75.0
raisuddin,-1894351938747062086,Tomato Big,37.5,2015-09-24,2015-09-30,40.0
sawan,-6149529968967915582,Tomato Small,25.0,2015-09-24,2015-09-30,30.0
shanta,2960310750304784655,Potato Red,31.5,2015-09-24,2015-09-30,35.0
shanta,2960310750304784655,Potato White,21.0,2015-09-24,2015-09-30,22.0
rahu,2957258461367610484,Carrot,95.0,2015-09-24,2015-09-30,100.0
shanta,2960310750304784655,Brinjal Long,22.5,2015-09-24,2015-09-30,25.0
rahu,2957258461367610484,Okara,55.0,2015-09-24,2015-09-30,60.0
pramal,-2691605640747198609,Apple,95.0,2015-09-24,2015-09-30,100.0
rahu,2957258461367610484,Banana,62.5,2015-09-24,2015-09-30,65.0
rampayari,2968148604061203207,Lime,425.0,2015-09-24,2015-09-30,450.0
mehtab,-7306772913005020966,Papaya,65.0,2015-09-24,2015-09-30,70.0
haneef,5040385076877893978,Tomato Big,35.0,2015-09-25,2015-10-01,40.0
shefali,-2298907791602927432,Tomato Small,25.0,2015-09-25,2015-10-01,30.0
pushpa,6250299447907893656,Potato Red,31.5,2015-09-25,2015-10-01,35.0
gulnaz,495265023589704168,Potato White,21.0,2015-09-25,2015-10-01,22.0
anushka,-3763883785994142627,Carrot,97.5,2015-09-25,2015-10-01,100.0
mercy,-5690939918981728182,Brinjal Long,25.0,2015-09-25,2015-10-01,30.0
raisuddin,-1894351938747062086,Okara,55.0,2015-09-25,2015-10-01,60.0
rahu,2957258461367610484,Apple,95.0,2015-09-25,2015-10-01,100.0
monish,-2881186788928815126,Banana,62.5,2015-09-25,2015-10-01,65.0
shefali,-2298907791602927432,Lime,425.0,2015-09-25,2015-10-01,450.0
pramal,-2691605640747198609,Papaya,65.0,2015-09-25,2015-10-01,70.0
vijayanta,4365782647811874623,Tomato Big,35.0,2015-09-26,2015-10-02,40.0
mehtab,-7306772913005020966,Tomato Small,22.0,2015-09-26,2015-10-02,26.0
mehtab,-7306772913005020966,Potato Red,38.5,2015-09-26,2015-10-02,42.0
guldasta,-7906434419713185929,Potato White,30.0,2015-09-26,2015-10-02,32.0
shanta,2960310750304784655,Carrot,102.5,2015-09-26,2015-10-02,115.0
mehtab,-7306772913005020966,Brinjal Long,25.0,2015-09-26,2015-10-02,30.0
fakir,1247089047928546332,Okara,55.0,2015-09-26,2015-10-02,60.0
rampayari,2968148604061203207,Apple,95.0,2015-09-26,2015-10-02,100.0
fakir,1247089047928546332,Banana,65.0,2015-09-26,2015-10-02,70.0
sawan,-6149529968967915582,Lime,525.0,2015-09-26,2015-10-02,600.0
patik,2723030288162985091,Papaya,72.5,2015-09-26,2015-10-02,75.0
fakir,1247089047928546332,Tomato Big,37.5,2015-09-27,2015-10-03,40.0
jasmen,-936895894803863828,Tomato Small,27.5,2015-09-27,2015-10-03,30.0
ramotar,-2173245710817273785,Potato Red,41.0,2015-09-27,2015-10-03,42.0
haneef,5040385076877893978,Potato White,29.0,2015-09-27,2015-10-03,30.0
mehtab,-7306772913005020966,Carrot,95.0,2015-09-27,2015-10-03,100.0
pushpa,6250299447907893656,Brinjal Long,27.5,2015-09-27,2015-10-03,30.0
jasmen,-936895894803863828,Okara,42.5,2015-09-27,2015-10-03,45.0
pinky,-788253433629545359,Apple,95.0,2015-09-27,2015-10-03,100.0
rahu,2957258461367610484,Banana,65.0,2015-09-27,2015-10-03,70.0
mercy,-5690939918981728182,Lime,475.0,2015-09-27,2015-10-03,500.0
pushpa,6250299447907893656,Papaya,72.5,2015-09-27,2015-10-03,75.0
gulnaz,495265023589704168,Tomato Big,37.5,2015-09-28,2015-10-04,40.0
anushka,-3763883785994142627,Tomato Small,25.0,2015-09-28,2015-10-04,30.0
haneef,5040385076877893978,Potato Red,38.5,2015-09-28,2015-10-04,42.0
ramotar,-2173245710817273785,Potato White,29.0,2015-09-28,2015-10-04,30.0
haneef,5040385076877893978,Carrot,97.5,2015-09-28,2015-10-04,100.0
pramal,-2691605640747198609,Brinjal Long,35.0,2015-09-28,2015-10-04,40.0
shefali,-2298907791602927432,Okara,55.0,2015-09-28,2015-10-04,60.0
pushpa,6250299447907893656,Apple,95.0,2015-09-28,2015-10-04,100.0
rajbir,-5254222139817084366,Banana,62.5,2015-09-28,2015-10-04,65.0
gulnaz,495265023589704168,Lime,425.0,2015-09-28,2015-10-04,450.0
haneef,5040385076877893978,Papaya,62.5,2015-09-28,2015-10-04,65.0
raisuddin,-1894351938747062086,Tomato Big,52.5,2015-09-29,2015-10-05,55.0
preetam,-2213805873980470021,Tomato Small,22.5,2015-09-29,2015-10-05,25.0
anushka,-3763883785994142627,Potato Red,37.5,2015-09-29,2015-10-05,40.0
monish,-2881186788928815126,Potato White,29.0,2015-09-29,2015-10-05,30.0
rampayari,2968148604061203207,Carrot,97.5,2015-09-29,2015-10-05,100.0
aamina,-3709490872329022915,Brinjal Long,45.0,2015-09-29,2015-10-05,50.0
preetam,-2213805873980470021,Okara,65.0,2015-09-29,2015-10-05,70.0
divy,830602817135085407,Apple,95.0,2015-09-29,2015-10-05,100.0
sawan,-6149529968967915582,Banana,62.5,2015-09-29,2015-10-05,65.0
pushpa,6250299447907893656,Lime,425.0,2015-09-29,2015-10-05,450.0
haneef,5040385076877893978,Papaya,62.5,2015-09-29,2015-10-05,65.0
fakir,1247089047928546332,Tomato Big,62.5,2015-09-30,2015-10-06,65.0
haneef,5040385076877893978,Tomato Small,25.0,2015-09-30,2015-10-06,30.0
ramotar,-2173245710817273785,Potato Red,37.5,2015-09-30,2015-10-06,40.0
monish,-2881186788928815126,Potato White,29.0,2015-09-30,2015-10-06,30.0
fakir,1247089047928546332,Carrot,105.0,2015-09-30,2015-10-06,110.0
divy,830602817135085407,Brinjal Long,45.0,2015-09-30,2015-10-06,50.0
pramal,-2691605640747198609,Okara,75.0,2015-09-30,2015-10-06,80.0
rajbir,-5254222139817084366,Apple,95.0,2015-09-30,2015-10-06,100.0
rahu,2957258461367610484,Banana,62.5,2015-09-30,2015-10-06,65.0
raisuddin,-1894351938747062086,Lime,425.0,2015-09-30,2015-10-06,450.0
aamina,-3709490872329022915,Papaya,62.5,2015-09-30,2015-10-06,65.0
guldasta,-7906434419713185929,Tomato Big,57.5,2015-10-01,2015-10-07,60.0
ramotar,-2173245710817273785,Tomato Small,25.0,2015-10-01,2015-10-07,30.0
shefali,-2298907791602927432,Potato Red,37.5,2015-10-01,2015-10-07,40.0
pramal,-2691605640747198609,Potato White,29.0,2015-10-01,2015-10-07,30.0
shefali,-2298907791602927432,Carrot,95.0,2015-10-01,2015-10-07,100.0
gulnaz,495265023589704168,Brinjal Long,35.0,2015-10-01,2015-10-07,40.0
shanta,2960310750304784655,Okara,75.0,2015-10-01,2015-10-07,80.0
anushka,-3763883785994142627,Apple,95.0,2015-10-01,2015-10-07,100.0
vijayanta,4365782647811874623,Banana,65.0,2015-10-01,2015-10-07,70.0
preetam,-2213805873980470021,Lime,425.0,2015-10-01,2015-10-07,450.0
jasmen,-936895894803863828,Papaya,72.5,2015-10-01,2015-10-07,75.0
rampayari,2968148604061203207,Tomato Big,57.5,2015-10-02,2015-10-08,60.0
shefali,-2298907791602927432,Tomato Small,22.5,2015-10-02,2015-10-08,25.0
vijayanta,4365782647811874623,Potato Red,37.5,2015-10-02,2015-10-08,40.0
gulnaz,495265023589704168,Potato White,29.0,2015-10-02,2015-10-08,30.0
gulnaz,495265023589704168,Carrot,95.0,2015-10-02,2015-10-08,100.0
divy,830602817135085407,Brinjal Long,35.0,2015-10-02,2015-10-08,40.0
sanjeev,2699564478308651307,Okara,75.0,2015-10-02,2015-10-08,80.0
divy,830602817135085407,Apple,95.0,2015-10-02,2015-10-08,100.0
vijayanta,4365782647811874623,Banana,65.0,2015-10-02,2015-10-08,70.0
haneef,5040385076877893978,Lime,425.0,2015-10-02,2015-10-08,450.0
fakir,1247089047928546332,Papaya,65.0,2015-10-02,2015-10-08,70.0
jasmen,-936895894803863828,Tomato Big,50.0,2015-10-03,2015-10-09,55.0
vijayanta,4365782647811874623,Tomato Small,20.0,2015-10-03,2015-10-09,24.0
nakched,-4960447786618205247,Potato Red,37.5,2015-10-03,2015-10-09,40.0
rahu,2957258461367610484,Potato White,30.0,2015-10-03,2015-10-09,32.0
shanta,2960310750304784655,Carrot,72.5,2015-10-03,2015-10-09,85.0
ramotar,-2173245710817273785,Brinjal Long,26.0,2015-10-03,2015-10-09,32.0
haneef,5040385076877893978,Okara,80.0,2015-10-03,2015-10-09,90.0
monish,-2881186788928815126,Brocauli,125.0,2015-10-03,2015-10-09,130.0
pramal,-2691605640747198609,Apple,95.0,2015-10-03,2015-10-09,100.0
shefali,-2298907791602927432,Banana,65.0,2015-10-03,2015-10-09,70.0
mehnaz,-6840582954423772625,Lime,500.0,2015-10-03,2015-10-09,550.0
ramotar,-2173245710817273785,Papaya,75.0,2015-10-03,2015-10-09,80.0
jagdiesh,4105505874232099421,Tomato Big,52.5,2015-10-04,2015-10-10,55.0
shanta,2960310750304784655,Tomato Small,22.5,2015-10-04,2015-10-10,25.0
raisuddin,-1894351938747062086,Potato Red,37.5,2015-10-04,2015-10-10,40.0
nakched,-4960447786618205247,Potato White,30.0,2015-10-04,2015-10-10,32.0
pinky,-788253433629545359,Carrot,95.0,2015-10-04,2015-10-10,100.0
mehnaz,-6840582954423772625,Brinjal Long,35.0,2015-10-04,2015-10-10,40.0
anushka,-3763883785994142627,Okara,75.0,2015-10-04,2015-10-10,80.0
jagdiesh,4105505874232099421,Apple,95.0,2015-10-04,2015-10-10,100.0
mercy,-5690939918981728182,Banana,62.5,2015-10-04,2015-10-10,65.0
patik,2723030288162985091,Lime,425.0,2015-10-04,2015-10-10,450.0
haneef,5040385076877893978,Papaya,75.0,2015-10-04,2015-10-10,80.0
fakir,1247089047928546332,Tomato Big,47.5,2015-10-05,2015-10-11,50.0
rampayari,2968148604061203207,Tomato Small,17.5,2015-10-05,2015-10-11,20.0
mercy,-5690939918981728182,Potato Red,37.5,2015-10-05,2015-10-11,40.0
shanta,2960310750304784655,Potato White,30.0,2015-10-05,2015-10-11,32.0
mercy,-5690939918981728182,Carrot,97.5,2015-10-05,2015-10-11,100.0
pinky,-788253433629545359,Brinjal Long,35.0,2015-10-05,2015-10-11,40.0
nakched,-4960447786618205247,Okara,75.0,2015-10-05,2015-10-11,80.0
jasmen,-936895894803863828,Apple,95.0,2015-10-05,2015-10-11,100.0
rahu,2957258461367610484,Banana,65.0,2015-10-05,2015-10-11,70.0
pramal,-2691605640747198609,Lime,425.0,2015-10-05,2015-10-11,450.0
santo,4612333139155000023,Papaya,82.5,2015-10-05,2015-10-11,85.0
jagdiesh,4105505874232099421,Tomato Big,37.5,2015-10-06,2015-10-12,40.0
shanta,2960310750304784655,Tomato Small,17.5,2015-10-06,2015-10-12,20.0
jasmen,-936895894803863828,Potato Red,37.5,2015-10-06,2015-10-12,40.0
ramotar,-2173245710817273785,Potato White,31.0,2015-10-06,2015-10-12,32.0
nakched,-4960447786618205247,Carrot,97.5,2015-10-06,2015-10-12,100.0
guldasta,-7906434419713185929,Brinjal Long,35.0,2015-10-06,2015-10-12,40.0
santo,4612333139155000023,Okara,85.0,2015-10-06,2015-10-12,90.0
mercy,-5690939918981728182,Apple,95.0,2015-10-06,2015-10-12,100.0
ramotar,-2173245710817273785,Banana,65.0,2015-10-06,2015-10-12,70.0
aamina,-3709490872329022915,Lime,425.0,2015-10-06,2015-10-12,450.0
mercy,-5690939918981728182,Papaya,82.5,2015-10-06,2015-10-12,85.0
ramotar,-2173245710817273785,Tomato Big,37.5,2015-10-07,2015-10-13,40.0
shefali,-2298907791602927432,Tomato Small,22.5,2015-10-07,2015-10-13,25.0
preetam,-2213805873980470021,Potato Red,37.5,2015-10-07,2015-10-13,40.0
gulnaz,495265023589704168,Potato White,31.0,2015-10-07,2015-10-13,32.0
vijayanta,4365782647811874623,Carrot,97.5,2015-10-07,2015-10-13,100.0
fakir,1247089047928546332,Brinjal Long,45.0,2015-10-07,2015-10-13,50.0
vijayanta,4365782647811874623,Okara,85.0,2015-10-07,2015-10-13,90.0
jagdiesh,4105505874232099421,Apple,105.0,2015-10-07,2015-10-13,110.0
mehtab,-7306772913005020966,Banana,75.0,2015-10-07,2015-10-13,80.0
mehnaz,-6840582954423772625,Lime,425.0,2015-10-07,2015-10-13,450.0
raisuddin,-1894351938747062086,Papaya,85.0,2015-10-07,2015-10-13,90.0
nakched,-4960447786618205247,Tomato Big,37.5,2015-10-08,2015-10-14,40.0
mehtab,-7306772913005020966,Tomato Small,22.5,2015-10-08,2015-10-14,25.0
sawan,-6149529968967915582,Potato Red,37.5,2015-10-08,2015-10-14,40.0
sanjeev,2699564478308651307,Potato White,31.0,2015-10-08,2015-10-14,32.0
nakched,-4960447786618205247,Carrot,97.5,2015-10-08,2015-10-14,100.0
pinky,-788253433629545359,Brinjal Long,45.0,2015-10-08,2015-10-14,50.0
fakir,1247089047928546332,Okara,75.0,2015-10-08,2015-10-14,80.0
mercy,-5690939918981728182,Apple,105.0,2015-10-08,2015-10-14,110.0
mercy,-5690939918981728182,Banana,65.0,2015-10-08,2015-10-14,70.0
pramal,-2691605640747198609,Lime,425.0,2015-10-08,2015-10-14,450.0
mehnaz,-6840582954423772625,Papaya,85.0,2015-10-08,2015-10-14,90.0
raisuddin,-1894351938747062086,Tomato Big,37.5,2015-10-09,2015-10-15,40.0
fakir,1247089047928546332,Tomato Small,22.5,2015-10-09,2015-10-15,25.0
haneef,5040385076877893978,Potato Red,37.5,2015-10-09,2015-10-15,40.0
monish,-2881186788928815126,Potato White,31.0,2015-10-09,2015-10-15,32.0
mehtab,-7306772913005020966,Carrot,97.5,2015-10-09,2015-10-15,100.0
ramotar,-2173245710817273785,Brinjal Long,55.0,2015-10-09,2015-10-15,60.0
mehtab,-7306772913005020966,Okara,75.0,2015-10-09,2015-10-15,80.0
jagdiesh,4105505874232099421,Apple,115.0,2015-10-09,2015-10-15,120.0
mercy,-5690939918981728182,Banana,65.0,2015-10-09,2015-10-15,70.0
sawan,-6149529968967915582,Lime,425.0,2015-10-09,2015-10-15,450.0
aamina,-3709490872329022915,Papaya,105.0,2015-10-09,2015-10-15,110.0
shefali,-2298907791602927432,Tomato Big,38.5,2015-10-10,2015-10-16,42.0
fakir,1247089047928546332,Tomato Small,21.5,2015-10-10,2015-10-16,25.0
pinky,-788253433629545359,Potato Red,39.5,2015-10-10,2015-10-16,42.0
aamina,-3709490872329022915,Potato White,31.0,2015-10-10,2015-10-16,32.0
gulnaz,495265023589704168,Carrot,90.0,2015-10-10,2015-10-16,95.0
shanta,2960310750304784655,Brinjal Long,52.5,2015-10-10,2015-10-16,60.0
fakir,1247089047928546332,Okara,75.0,2015-10-10,2015-10-16,80.0
haneef,5040385076877893978,Brocauli,125.0,2015-10-10,2015-10-16,130.0
sawan,-6149529968967915582,Apple,115.0,2015-10-10,2015-10-16,120.0
preetam,-2213805873980470021,Banana,65.0,2015-10-10,2015-10-16,70.0
raisuddin,-1894351938747062086,Lime,450.0,2015-10-10,2015-10-16,500.0
rajbir,-5254222139817084366,Papaya,95.0,2015-10-10,2015-10-16,100.0
guldasta,-7906434419713185929,Tomato Big,45.0,2015-10-11,2015-10-17,50.0
pushpa,6250299447907893656,Tomato Small,22.5,2015-10-11,2015-10-17,25.0
pushpa,6250299447907893656,Potato Red,37.5,2015-10-11,2015-10-17,40.0
rajbir,-5254222139817084366,Potato White,31.0,2015-10-11,2015-10-17,32.0
gulnaz,495265023589704168,Carrot,97.5,2015-10-11,2015-10-17,100.0
rampayari,2968148604061203207,Brinjal Long,55.0,2015-10-11,2015-10-17,60.0
shefali,-2298907791602927432,Okara,75.0,2015-10-11,2015-10-17,80.0
mehnaz,-6840582954423772625,Apple,110.0,2015-10-11,2015-10-17,120.0
sanjeev,2699564478308651307,Banana,65.0,2015-10-11,2015-10-17,70.0
jagdiesh,4105505874232099421,Lime,425.0,2015-10-11,2015-10-17,450.0
ramotar,-2173245710817273785,Papaya,105.0,2015-10-11,2015-10-17,110.0
guldasta,-7906434419713185929,Tomato Big,45.0,2015-10-12,2015-10-18,50.0
pinky,-788253433629545359,Tomato Small,25.0,2015-10-12,2015-10-18,30.0
shanta,2960310750304784655,Potato Red,38.5,2015-10-12,2015-10-18,42.0
vijayanta,4365782647811874623,Potato White,31.0,2015-10-12,2015-10-18,32.0
shanta,2960310750304784655,Carrot,85.0,2015-10-12,2015-10-18,90.0
mehnaz,-6840582954423772625,Brinjal Long,55.0,2015-10-12,2015-10-18,60.0
monish,-2881186788928815126,Okara,95.0,2015-10-12,2015-10-18,100.0
aamina,-3709490872329022915,Apple,125.0,2015-10-12,2015-10-18,130.0
gulnaz,495265023589704168,Banana,65.0,2015-10-12,2015-10-18,70.0
anushka,-3763883785994142627,Lime,425.0,2015-10-12,2015-10-18,450.0
ramotar,-2173245710817273785,Papaya,105.0,2015-10-12,2015-10-18,110.0
anushka,-3763883785994142627,Tomato Big,45.0,2015-10-13,2015-10-19,50.0
preetam,-2213805873980470021,Tomato Small,22.5,2015-10-13,2015-10-19,25.0
ramotar,-2173245710817273785,Potato Red,37.5,2015-10-13,2015-10-19,40.0
shanta,2960310750304784655,Potato White,31.0,2015-10-13,2015-10-19,32.0
ramotar,-2173245710817273785,Carrot,85.0,2015-10-13,2015-10-19,90.0
patik,2723030288162985091,Brinjal Long,52.5,2015-10-13,2015-10-19,55.0
sawan,-6149529968967915582,Apple,125.0,2015-10-13,2015-10-19,130.0
mehnaz,-6840582954423772625,Banana,65.0,2015-10-13,2015-10-19,70.0
anushka,-3763883785994142627,Lime,450.0,2015-10-13,2015-10-19,500.0
mehnaz,-6840582954423772625,Papaya,105.0,2015-10-13,2015-10-19,110.0
anushka,-3763883785994142627,Tomato Big,47.5,2015-10-14,2015-10-20,50.0
haneef,5040385076877893978,Tomato Small,20.0,2015-10-14,2015-10-20,25.0
pushpa,6250299447907893656,Potato Red,38.5,2015-10-14,2015-10-20,42.0
mercy,-5690939918981728182,Potato White,31.0,2015-10-14,2015-10-20,32.0
mehtab,-7306772913005020966,Carrot,97.5,2015-10-14,2015-10-20,100.0
shanta,2960310750304784655,Brinjal Long,45.0,2015-10-14,2015-10-20,50.0
mehnaz,-6840582954423772625,Okara,85.0,2015-10-14,2015-10-20,90.0
raisuddin,-1894351938747062086,Apple,110.0,2015-10-14,2015-10-20,120.0
ramotar,-2173245710817273785,Banana,65.0,2015-10-14,2015-10-20,70.0
gulnaz,495265023589704168,Lime,475.0,2015-10-14,2015-10-20,500.0
guldasta,-7906434419713185929,Papaya,85.0,2015-10-14,2015-10-20,90.0
mercy,-5690939918981728182,Tomato Big,55.0,2015-10-15,2015-10-21,60.0
pramal,-2691605640747198609,Tomato Small,20.0,2015-10-15,2015-10-21,25.0
haneef,5040385076877893978,Potato Red,38.5,2015-10-15,2015-10-21,42.0
monish,-2881186788928815126,Potato White,31.0,2015-10-15,2015-10-21,32.0
jasmen,-936895894803863828,Carrot,95.0,2015-10-15,2015-10-21,100.0
gulnaz,495265023589704168,Brinjal Long,45.0,2015-10-15,2015-10-21,50.0
rampayari,2968148604061203207,Okara,65.0,2015-10-15,2015-10-21,70.0
jagdiesh,4105505874232099421,Apple,105.0,2015-10-15,2015-10-21,110.0
guldasta,-7906434419713185929,Banana,65.0,2015-10-15,2015-10-21,70.0
patik,2723030288162985091,Lime,425.0,2015-10-15,2015-10-21,450.0
shanta,2960310750304784655,Papaya,75.0,2015-10-15,2015-10-21,80.0
raisuddin,-1894351938747062086,Tomato Big,45.0,2015-10-16,2015-10-22,50.0
mehnaz,-6840582954423772625,Tomato Small,20.0,2015-10-16,2015-10-22,25.0
pinky,-788253433629545359,Potato Red,37.5,2015-10-16,2015-10-22,40.0
aamina,-3709490872329022915,Potato White,31.0,2015-10-16,2015-10-22,32.0
rajbir,-5254222139817084366,Carrot,97.5,2015-10-16,2015-10-22,100.0
shefali,-2298907791602927432,Brinjal Long,35.0,2015-10-16,2015-10-22,40.0
sanjeev,2699564478308651307,Okara,65.0,2015-10-16,2015-10-22,70.0
guldasta,-7906434419713185929,Apple,105.0,2015-10-16,2015-10-22,110.0
shefali,-2298907791602927432,Banana,55.0,2015-10-16,2015-10-22,60.0
nakched,-4960447786618205247,Lime,425.0,2015-10-16,2015-10-22,450.0
monish,-2881186788928815126,Papaya,75.0,2015-10-16,2015-10-22,80.0
patik,2723030288162985091,Tomato Big,45.0,2015-10-17,2015-10-23,50.0
guldasta,-7906434419713185929,Tomato Small,14.0,2015-10-17,2015-10-23,16.0
mercy,-5690939918981728182,Potato Red,36.0,2015-10-17,2015-10-23,38.0
pramal,-2691605640747198609,Potato White,29.0,2015-10-17,2015-10-23,31.0
divy,830602817135085407,Carrot,97.5,2015-10-17,2015-10-23,100.0
ramotar,-2173245710817273785,Brinjal Long,27.5,2015-10-17,2015-10-23,30.0
sanjeev,2699564478308651307,Okara,65.0,2015-10-17,2015-10-23,70.0
sanjeev,2699564478308651307,Brocauli,95.0,2015-10-17,2015-10-23,100.0
fakir,1247089047928546332,Apple,105.0,2015-10-17,2015-10-23,110.0
divy,830602817135085407,Banana,57.5,2015-10-17,2015-10-23,60.0
rahu,2957258461367610484,Lime,450.0,2015-10-17,2015-10-23,500.0
jagdiesh,4105505874232099421,Papaya,65.0,2015-10-17,2015-10-23,70.0
ramotar,-2173245710817273785,Tomato Big,45.0,2015-10-18,2015-10-24,50.0
vijayanta,4365782647811874623,Tomato Small,17.5,2015-10-18,2015-10-24,20.0
vijayanta,4365782647811874623,Potato Red,36.5,2015-10-18,2015-10-24,38.0
mercy,-5690939918981728182,Potato White,27.5,2015-10-18,2015-10-24,30.0
aamina,-3709490872329022915,Carrot,97.5,2015-10-18,2015-10-24,100.0
guldasta,-7906434419713185929,Brinjal Long,35.0,2015-10-18,2015-10-24,40.0
rajbir,-5254222139817084366,Okara,75.0,2015-10-18,2015-10-24,80.0
vijayanta,4365782647811874623,Apple,110.0,2015-10-18,2015-10-24,120.0
aamina,-3709490872329022915,Banana,62.5,2015-10-18,2015-10-24,65.0
shanta,2960310750304784655,Lime,425.0,2015-10-18,2015-10-24,450.0
santo,4612333139155000023,Papaya,65.0,2015-10-18,2015-10-24,70.0
nakched,-4960447786618205247,Tomato Big,45.0,2015-10-19,2015-10-25,50.0
pinky,-788253433629545359,Tomato Small,20.0,2015-10-19,2015-10-25,25.0
mehtab,-7306772913005020966,Potato Red,36.5,2015-10-19,2015-10-25,38.0
rampayari,2968148604061203207,Potato White,28.5,2015-10-19,2015-10-25,30.0
santo,4612333139155000023,Carrot,95.0,2015-10-19,2015-10-25,100.0
ramotar,-2173245710817273785,Brinjal Long,35.0,2015-10-19,2015-10-25,40.0
gulnaz,495265023589704168,Okara,75.0,2015-10-19,2015-10-25,80.0
vijayanta,4365782647811874623,Apple,105.0,2015-10-19,2015-10-25,110.0
aamina,-3709490872329022915,Banana,55.0,2015-10-19,2015-10-25,60.0
monish,-2881186788928815126,Lime,425.0,2015-10-19,2015-10-25,450.0
pramal,-2691605640747198609,Papaya,75.0,2015-10-19,2015-10-25,80.0
patik,2723030288162985091,Tomato Big,45.0,2015-10-20,2015-10-26,50.0
divy,830602817135085407,Tomato Small,17.5,2015-10-20,2015-10-26,20.0
sanjeev,2699564478308651307,Potato Red,35.0,2015-10-20,2015-10-26,40.0
anushka,-3763883785994142627,Potato White,28.5,2015-10-20,2015-10-26,30.0
shanta,2960310750304784655,Carrot,95.0,2015-10-20,2015-10-26,100.0
shefali,-2298907791602927432,Brinjal Long,35.0,2015-10-20,2015-10-26,40.0
gulnaz,495265023589704168,Okara,75.0,2015-10-20,2015-10-26,80.0
divy,830602817135085407,Apple,135.0,2015-10-20,2015-10-26,140.0
guldasta,-7906434419713185929,Banana,65.0,2015-10-20,2015-10-26,70.0
monish,-2881186788928815126,Lime,425.0,2015-10-20,2015-10-26,450.0
